English,Russian
unfortunately,К сожалению
useful,полезный
noise,шум
expose,разоблачать
mass,масса
multiple,несколько
vegetable,овощ
seed,семя
reject,отклонять
decline,отклонить
experiment,эксперимент
legislation,законодательство
hat,шляпа
either,либо
secret,секрет
massive,массивный
grass,трава
definitely,определенно
closer,ближе
liberal,либеральный
stir,размешать
captain,капитан
revolution,революция
typically,обычно
sector,сектор
hand,рука
approve,одобрить
uncle,дядя
volume,объем
explanation,объяснение
sentence,приговор
escape,побег
unusual,необычный
distribution,распределение
rural,деревенский
cast,В ролях
drink,напиток
sleep,спать
household,семья
celebrate,праздновать
taste,вкус
characteristic,характеристика
outside,вне
addition,добавление
acquire,приобретать
closely,близко
proper,правильный
tone,тон
topic,тема
towards,в направлении
waste,напрасно тратить
wheel,рулевое колесо
athlete,спортсмен
convince,убеждать
alternative,альтернатива
pepper,перец
cream,пломбир
land,земельные участки
technical,технический
square,площадь
plenty,множество
behind,позади
invest,инвестировать
mind,разум
potential,потенциал
regard,внимание
intervention,вмешательство
illegal,нелегальный
lower,ниже
compete,конкурировать
talent,талант
guilty,виновный
living,жизнь
milk,молоко
height,высота
list,список
live,жить
assistance,помощь
personality,личность
Israeli,Израильтянин
gay,гей
forever,навсегда
assess,оценивать
weak,слабый
female,женский
cigarette,сигарета
permit,разрешать
passenger,пассажир
criticism,критика
twenty,20
honor,честь
creative,творческий
offer,предложение
knock,поступить
display,отображать
campus,кампус
definition,определение
gray,серый
signal,сигнал
warning,предупреждение
physician,врач
column,столбец
interaction,взаимодействие
dramatic,драматический
review,обзор
republic,Республика
primarily,прежде всего
priority,приоритет
achievement,достижение
fun,весело
request,запрос
wrap,сворачивать
engineer,инженер
rice,рис
scholar,ученый
airline,авиакомпания
expense,расход
observation,наблюдение
gap,зазор
agenda,повестка дня
creation,творчество
drag,тяга
suspect,подозревать
fishing,ловит рыбу
bread,хлеб
hi,Здравствуй
unable,неспособный
scream,крик
journalist,журналистка
constitution,Конституция
lucky,счастливый
excellent,превосходно
mass,масса
payment,оплата
deep,глубокий
selection,выбор
lab,лаборатория
arrest,арест
deeply,глубоко
sad,грустный
childhood,детство
suppose,предполагать
fairly,весьма
prosecutor,прокурор
violent,жестокий
recover,восстанавливаться
roof,крыша
amendment,поправка
emotion,эмоция
existing,существующий
far,далеко
graduate,выпускник
factory,фабрика
schedule,расписание
avenue,проспект
spiritual,духовный
ride,поездка
wash,мыть
planning,планирование
self,себя
later,потом
shout,кричать
silent,тихий
brief,краткий
error,ошибка
widely,широко
description,описание
dark,темный
immediate,немедленный
purchase,покупка
leading,ведущий
funding,финансирование
settlement,поселок
prayer,молитва
initiative,инициатива
coalition,коалиция
comparison,сравнение
portion,часть
opponent,противник
tension,напряжение
chapter,глава
bother,беспокоить
curriculum,учебный план
consist,состоять
immigrant,иммигрант
enable,включить
faculty,факультет
steel,стали
desert,пустыня
asset,актив
slow,медленный
housing,Корпус
transform,преобразование
regarding,касательно
perceive,понимать
depression,депрессия
inform,поставить в известность
formal,формальный
abandon,покидать
release,выпускать
chip,чип
double,двойной
remaining,осталось
existence,существование
cheese,сыр
link,ссылка на сайт
joint,соединение
savings,сбережения
rule,правило
preserve,сохранять
diet,диета
territory,территория
tea,чай
bend,сгибать
gain,прирост
arrange,договариваться
resolve,решать
walk,ходить
passage,проход
lock,замок
tear,рвать
resistance,сопротивление
present,подарок
stream,ручей
slide,горка
green,зеленый
sharp,острый
display,отображать
cycle,цикл
pose,поза
phase,фаза
transition,переход
reduction,снижение
negotiation,Переговоры
manufacturer,производитель
interview,интервью
quote,цитировать
deserve,заслуживать
trust,доверять
sale,распродажа
layer,слой
wedding,свадьба
discovery,Открытие
mine,мой
academy,академия
sand,песок
hit,хит
missile,ракета
elect,избранный
climate,климат
participation,участие
knife,нож
benefit,выгода
atmosphere,атмосфера
joke,шутить
urge,побуждать
ordinary,обычный
visual,визуальный
numerous,многочисленные
occasion,повод
philosophy,Философия
suicide,самоубийство
shall,должен
glad,радостный
goods,товары
moreover,Кроме того
coat,Пальто
consistent,последовательный
alcohol,алкоголь
opposite,противоположный
cop,полицейский
universe,вселенная
breathe,дышать
practical,практичный
therapy,терапия
shift,сдвиг
racial,расовый
elsewhere,в другом месте
rarely,редко
essentially,по сути
discipline,дисциплина
reply,Ответить
Mexican,Мексиканец
passion,страсть
tale,сказка
dust,пыль
kiss,целовать
iron,утюг
independence,Независимость
contact,контакт
Spanish,испанский
advance,продвигать
pot,горшок
potato,картошка
motor,мотор
pack,пакет
dominate,доминировать
marketing,маркетинг
disaster,стихийное бедствие
exposure,экспозиция
complaint,жалоба
cap,крышка
congressional,Конгресс
jacket,пиджак
intense,интенсивный
touch,трогать
for,за
impose,навязывать
electric,электрический
implement,осуществлять
enforcement,правоприменение
analyze,анализировать
sure,Конечно
retire,выходить на пенсию
deficit,дефицит
emphasis,акцент
concentrate,концентрироваться
accomplish,выполнить
previously,ранее
symbol,символ
bureau,бюро
laboratory,лаборатория
attach,прикреплять
fundamental,фундаментальный
whenever,когда бы ни
arrangement,договоренность
investigator,следователь
mark,отметка
another,еще один
shock,шок
adjust,регулировать
employer,работодатель
visible,видимый
pass,проходить
priest,священник
volunteer,волонтер
interpretation,интерпретация
entertainment,развлечения
habit,привычка
illustrate,иллюстрировать
equally,в равной степени
prospect,перспектива
enhance,усиливать
severe,тяжелый
other,Другой
monitor,монитор
amazing,удивительно
poverty,бедность
increasing,увеличиваясь
boss,босс
inspire,вдохновлять
anger,злость
heavily,тяжело
parking,стоянка
print,Распечатать
maker,производитель
involvement,участие
queen,Королева
gene,ген
vary,отличаться
approximately,примерно
gallery,галерея
evaluate,оценивать
fat,толстый
trade,торговля
transfer,передача
exercise,упражнение
usual,обычный
mystery,тайна
entry,вход
ring,звенеть
mood,настроение
bean,фасоль
still,Все еще
objective,задача
capable,способный
constant,постоянный
light,легкий
substance,вещество
total,общий
strongly,сильно
exception,исключение
commander,командир
spending,расходы
crucial,ключевой
acre,акра
wire,провод
command,командование
nervous,нервный
cross,Пересекать
so-called,так называемые
competitive,конкурентоспособный
Asian,Азиатский
tower,башня
veteran,ветеран
creature,существо
smoke,дымка
Arab,Арабский
prince,принц
alliance,альянс
transportation,транспорт
stop,остановка
luck,удача
symptom,симптом
bury,хоронить
clinic,клиника
illness,болезнь
championship,чемпионат
prisoner,в плену
reputation,репутация
edition,версия
juice,сок
sauce,соус
peak,вершина горы
confront,противостоять
breakfast,завтрак
recognition,признание
smell,запах
ally,союзник
pure,чистый
toy,игрушка
salary,зарплата
electronic,электронный
bathroom,ванная комната
surely,конечно
psychological,психологический
evaluation,оценка
dimension,измерение
block,блокировать
race,гонка
personnel,персонал
belt,пояс
accompany,сопровождать
implication,значение
album,альбом
perfectly,отлично
strike,забастовка
jet,самолет
hello,привет
shape,форма
relative,родственник
tourist,турист
phenomenon,явление
fellow,парень
toss,жеребьевка
publication,публикация
nearby,"рядом, поблизости"
consideration,рассмотрение
rather,скорее
holy,Святой
enterprise,предприятие
due,в связи
inner,внутренний
watch,смотреть
Indian,Индийский
pray,молиться
creek,ручей
supply,поставлять
boot,ботинок
whisper,шепот
resist,сопротивляться
journey,путешествие
flag,флаг
disorder,расстройство
designer,дизайнер
literally,буквально
apparent,очевидный
permanent,постоянный
angle,угол
smooth,гладкий; плавный
unlike,в отличие
tablespoon,столовая ложка
smoke,дымка
consultant,консультант
twin,близнец
favor,услуга
throat,горло
construct,конструкция
birthday,день рождения
soon,скоро
swing,качать
supporter,сторонник
testing,тестирование
reasonable,разумный
mail,почта
silver,Серебряный
retirement,уход на пенсию
sensitive,чувствительный
gentleman,джентльмен
navy,военно-морской
terrorism,терроризм
occasionally,время от времени
glance,взглянуть мельком
observer,наблюдатель
constantly,постоянно
bind,связывать
wet,мокрый
line,линия
dig,копать землю
quit,покидать
digital,цифровой
straight,прямой
vs,против
assist,помощь
employment,трудоустройство
suggestion,предложение
rapidly,быстро
estimate,оценивать
embrace,объятие
junior,младший
stomach,желудок
extreme,крайний
pretty,Симпатичная
mine,мой
recovery,восстановление
negotiate,вести переговоры
impression,впечатление
wage,заработная плата
fifth,Пятый
FALSE,ЛОЖНЫЙ
count,считать
pink,розовый
absence,отсутствие
aggressive,агрессивный
corn,кукуруза
mixture,смесь
substantial,существенный
grandmother,бабушка
quietly,тихо
jail,тюрьма
specialist,специалист
dealer,дилер
poem,стих
butter,масло
conventional,общепринятый
pace,шаг
intention,намерение
peer,вглядеться
restore,восстановить
wooden,деревянный
criticize,критиковать
nevertheless,тем не менее
approval,одобрение
historic,исторический
secure,безопасный
preparation,подготовка
Latin,латинский
lord,господин
teaspoon,чайная ложка
musical,мюзикл
weigh,взвешивать
comment,комментарий
pan,Сковорода
assure,гарантировать
viewer,зритель
arise,возникнуть
administrator,администратор
immigration,иммиграция
plant,завод
honest,честный
origin,источник
giant,гигант
diversity,разнообразие
tomato,помидор
advise,советовать
biological,биологический
shell,оболочка
essay,сочинение
roll,рулон
historian,историк
deputy,депутат
date,свидание
effectively,эффективно
fast,быстро
schedule,расписание
buck,бак
tube,трубка
refugee,беженец
depth,глубина
flat,плоский
precisely,именно так
mad,без ума
alternative,альтернатива
disability,инвалидность
destruction,разрушение
dream,мечтать
drop,уронить
assumption,предположение
normally,обычно
angel,Ангел
pop,поп
criteria,критерии
minor,незначительный
crop,обрезать
barrier,барьер
assign,назначать
elementary,элементарный
valuable,ценный
testimony,показания
stake,доля
concert,концерт
label,этикетка
routine,рутина
wealth,богатство
professional,профессионал
gang,банда
incorporate,включить
brand,бренд
recipe,рецепт
vacation,отпуск
utility,полезность
satellite,спутник
extraordinary,необычайно
wave,волна
ultimate,окончательный
chemical,химический
advocate,адвокат
wonder,удивляться
educator,педагог
cake,кекс
phrase,фраза
yell,кричать
personally,лично
respondent,респондент
Palestinian,Палестинский
classic,Классик
snap,щелчок
via,с помощью
lawsuit,иск
install,установить
sweep,подметать
festival,фестиваль
draft,черновик
heaven,небеса
switch,выключатель
activist,активист
ceiling,потолок
clock,Часы
graduate,выпускник
aunt,тетя
darkness,тьма
daddy,папочка
royal,Королевский
advertising,реклама
rough,грубый
pregnant,беременная
penalty,штраф
distant,далекий
developing,развитие
yield,урожай
wind,ветер
armed,вооруженный
mechanism,механизм
rank,классифицировать
killer,убийца
fence,изгородь
ahead,предстоящий
universal,универсальный
terror,террор
wolf,волк
house,дом
anxiety,беспокойство
chemical,химический
found,найденный
protein,белок
engineering,инженерный
clothing,одежда
proceed,продолжить
fiber,волокно
react,реагировать
bottom,нижний
spin,вращение
roughly,грубо
drama,драма
liberty,свобода
ingredient,ингредиент
hip,бедро
provision,обеспечение
burden,груз
teen,подростка
survival,выживание
unlikely,вряд ли
Italian,Итальянский
chamber,камера
lost,потерял
communicate,общаться
stupid,глупый
bet,держать пари
advance,продвигать
Muslim,Мусульманин
bell,колокол
onion,лук
disagree,не согласен
encounter,сталкиваться
constitutional,конституционный
cabinet,шкаф
remarkable,замечательный
broken,сломанный
latter,последний
overcome,превосходить
virus,вирус
stranger,незнакомец
retain,удерживать
match,соответствие
prize,приз
string,нить
exhibition,выставка
expansion,расширение
tremendous,огромный
bunch,связка
assistant,помощник
initially,изначально
accurate,точный
cheek,щека
index,индекс
occupy,занимать
gear,механизм
guarantee,гарантия
chocolate,шоколад
ceremony,церемония
button,кнопка
shopping,поход по магазинам
pay,платить
dispute,спор
like,как
furniture,мебель
marine,морской
statistics,статистика
Olympic,Олимпийский
balance,остаток средств
wipe,вытирать
spokesman,Пресс -секретарь
super,супер
Islamic,Исламский
track,отслеживать
translate,перевести
interpret,интерпретация
testify,свидетельствовать
cooperation,сотрудничество
friendly,дружелюбный
profile,профиль
pants,брюки
whereas,тогда как
honor,честь
elite,элита
decline,отклонить
port,порт
complicated,сложный
cousin,двоюродная сестра
strategic,стратегический
terrorist,террорист
chart,диаграмма
drawing,Рисование
though,хотя
gently,нежно
pack,пакет
odd,странный
incentive,стимул
innocent,невиновный
imply,подразумевать
taste,вкус
stadium,стадион
scenario,сценарий
shooting,стрельба
blind,слепой
assembly,сборка
withdraw,отзывать
strip,полоска
market,рынок
lover,любовник
process,процесс
mainly,в основном
aircraft,самолет
newly,вновь
ideal,идеал
dirt,грязь
flow,поток
boundary,граница
resort,прибегнуть
genetic,генетический
stick,палка
concentration,концентрация
naturally,естественно
ministry,министерство
surprising,удивительный
adviser,советник
recommendation,рекомендация
similarly,по аналогии
justify,оправдывать
wildlife,дикая природа
bench,скамья
bullet,пуля
mode,Режим
square,площадь
champion,чемпион
dismiss,увольнять
deck,палуба
lifetime,продолжительность жизни
extensive,обширный
attractive,привлекательный
politically,политически
regularly,регулярно
raw,сырой
fault,вина
clinical,клинический
detect,обнаруживать
considerable,значительно
working,работающий
partly,частично
platform,Платформа
remote,удаленный
blue,синий
respect,уважать
top,Топ
fortune,удача
slave,раб
delivery,Доставка
worth,стоит
reflection,отражение
relevant,актуальны
unknown,неизвестный
pause,Пауза
likely,вероятно
tissue,салфетка
sink,раковина
counter,прилавок
Bible,Библия
license,лицензия
tragedy,трагедия
assistant,помощник
dialogue,диалог
mutual,взаимный
loose,свободный
external,внешний
pride,гордость
awareness,осведомленность
electricity,электричество
diverse,разнообразный
advanced,передовой
free,свободно
faster,Быстрее
conservative,консервативный
online,онлайн
assault,атаковать
shortly,вскоре
finance,финансы
originally,первоначально
founder,основатель
lie,ложь
characterize,характеризуйте
protest,протест
pole,столб
intellectual,интеллектуал
communist,коммунистический
infection,инфекционное заболевание
controversy,спор
double,двойной
freeze,заморозить
portrait,портрет
proof,доказательство
satisfaction,удовлетворение
insight,в поле зрения
headquarters,главное управление
stair,лестница
crash,крушение
constitute,составляют
thirty,тридцать
alter,альтернативный
sudden,внезапный
not,нет
potentially,потенциально
dirty,грязный
evolve,эволюционировать
teenager,подростка
violation,нарушение
joy,радость
smell,запах
possess,владеть
hurricane,ураган
offense,оскорбление
relax,расслабляться
appeal,обращаться
mount,устанавливать
treaty,договор
prior,прежний
memorial,мемориал
establishment,учреждение
hold,держать
tap,нажмите
swim,плавать
properly,правильно
gulf,залив
tongue,язык
salad,салат
practice,упражняться
favorite,любимый
shelter,приют
correspondent,корреспондент
introduction,введение
funeral,похороны
literary,литературный
convert,конвертировать
violate,нарушать
rub,натирать
entrance,вход
episode,эпизод
tournament,турнир
vital,жизненно важный
stable,стабильный
split,расколоть
representation,представление
stress,стресс
fiction,вымысел
lane,переулок
distinction,различие
segment,сегмент
transfer,передача
comprehensive,всесторонний
confident,уверенная в себе
easy,легкий
prominent,видный
presentation,презентация
net,сеть
squeeze,сжимать
tobacco,табак
significance,значение
imagination,воображение
pretend,притворяться
mere,простой
mix,смешивание
spot,место
fade,тускнеть
steady,устойчивый
neither,ни один
target,цель
nowhere,нигде
variation,вариация
radical,радикал
adventure,приключение
profession,профессия
exciting,захватывающе
fate,судьба
regardless,несмотря на
load,нагрузка
singer,певец
distribute,распределять
ton,тонна
instance,пример
affiliation,принадлежность
hunting,охота
pale,бледный
paint,краска
poet,поэт
gradually,постепенно
partnership,партнерство
capability,способность
Canadian,Канадский
tech,технический
commerce,коммерция
grandfather,дедушка
bake,выпекать
shelf,полка
honey,медовый
round,круглый
flee,бежать
adapt,адаптировать
buyer,покупатель
divorce,развод
defensive,защитник
bombing,бомбардировка
scared,напугана
gesture,жест
poetry,поэзия
reserve,резерв
satisfy,удовлетворять
pollution,загрязнение
lawn,лужайка
depending,в зависимости
wisdom,мудрость
since,поскольку
comfort,комфорт
plot,участок
vulnerable,уязвимый
explosion,взрыв
tail,хвост
differ,отличается
fellow,парень
sustain,поддерживать
doubt,сомневаться
stability,стабильность
fantasy,фантазия
obligation,обязательство
God,Бог
damage,наносить ущерб
bike,велосипед
dining,столовая
guide,руководство
custom,обычай
ill,больной
celebrity,знаменитость
leather,кожа
given,данный
framework,рамки
beat,бить
owe,быть должным
slight,легкий
witness,свидетель
tendency,тенденция
load,нагрузка
crack,трескаться
briefly,вкратце
derive,вывести
speaker,оратор
scandal,скандал
fifteen,пятнадцать
scheme,схема
jazz,джаз
in,в
elderly,пожилые люди
celebration,праздник
can,Можно
evolution,эволюция
fighter,истребитель
publicly,публично
store,хранить
trace,след
rid,избавлять
detective,детектив
closer,ближе
limitation,ограничение
besides,Помимо
soup,суп
oven,печь
rapid,стремительный
chase,гнаться
sophisticated,сложный
tribe,племя
pipe,трубка
deer,олень
illustration,иллюстрация
ok,Ok
arrest,арест
mm-hmm,ммммм
uniform,униформа
transmission,коробка передач
storage,хранилище
pile,куча
survivor,Выживший
resemble,напоминать
incredible,невероятный
impress,впечатление
economist,экономист
efficient,эффективный
fifty,50
shade,оттенок
opera,опера
calculate,рассчитывать
preference,предпочтение
guideline,Руководство
consume,потреблять
maintenance,техническое обслуживание
formation,формация
glove,перчатка
scholarship,стипендия
educate,обучать
proportion,пропорциональный
appointment,"деловое свидание, встреча"
fund,фонд
conviction,убеждение
myth,миф
solar,солнечный
vessel,судно
wealthy,богатый
friendship,дружба
membership,членство
craft,ремесло
qualify,квалифицировать
French,Французский
earnings,заработок
waste,напрасно тратить
asleep,спящий
porch,порог
controversial,спорный
painful,болезненно
congressman,конгрессмен
mama,мама
monitor,монитор
surprise,Сюрприз
infant,младенец
cow,корова
proposed,предложенный
sufficient,достаточный
oak,дуб
terrorist,террорист
mall,торговый центр
punishment,наказание
helpful,полезный
ongoing,непрерывный
admission,допуск
frequency,частота
ratio,соотношение
delay,задерживать
privacy,Конфиденциальность
trick,обманывать
etc,так далее
circuit,схема
musician,музыкант
sue,Сью
purchase,покупка
aide,помощник
modest,скромный
helicopter,вертолет
empire,Империя
detailed,подробный
efficiency,эффективность
humor,юмор
sanctions,санкции
badly,плохо
tennis,большой теннис
emission,эмиссия
desperate,отчаянный
garlic,чеснок
contest,конкурс
strengthen,укреплять
demonstration,демонстрация
restriction,ограничение
Irish,Ирландский
hunter,Охотник
standing,стоящий
handful,горстка
explode,взорваться
prompt,быстрый
absorb,поглощать
suspect,подозревать
eager,жаждущий
temporary,временный
commissioner,комиссар
diamond,бриллиант
curious,любопытный
differently,иначе
across,через
reservation,бронирование
downtown,центр города
adjustment,корректирование
composition,сочинение
relative,родственник
tiger,тигр
fabric,ткани
assert,утверждать
discrimination,дискриминация
float,плавать
request,запрос
math,математика
overlook,игнорировать
corps,корпус
sequence,последовательность
complex,сложный
heel,каблук
successfully,успешно
examination,экзамен
horizon,горизонт
German,Немецкий
absolute,абсолютный
anticipate,предвидеть
yours,Ваш
dominant,доминирующий
bull,бык
prevention,профилактика
meter,метр
legitimate,законно
mask,маска
bite,кусать
suit,подходить
stroke,Инсульт
assignment,назначение
lion,лев
sense,смысл
rifle,винтовка
brilliant,блестящий
appoint,назначать
boom,бум
naked,голый
hungry,голодный
tight,тугой
flame,пламя
Palestinian,Палестинский
economics,Экономика
cabin,кабина
print,Распечатать
orange,апельсин
wander,бродить
taxpayer,налогоплательщик
romantic,романтик
devote,посвящать
inflation,инфляция
furthermore,более того
pine,сосна
agriculture,сельское хозяйство
legacy,наследие
extension,расширение
barrel,ствол
arrival,прибытие
register,регистр
flavor,вкус
versus,против
risk,риск
flesh,плоть
submit,Разместить
garage,гараж
cotton,хлопок
operator,оператор
nut,орех
rate,оценивать
blade,лезвие
girlfriend,любимая девушка
fly,летать
dependent,зависимый
carbon,углерод
heritage,наследство
organic,органический
ambassador,посол
invasion,вторжение
summit,саммит
lifestyle,образ жизни
agricultural,сельскохозяйственный
shrug,пожимает плечами
counsel,адвокат
associate,ассоциирован
major,главный
distinguish,выделить
menu,меню
awful,ужасный
wound,ранить
manufacturing,Производство
consumption,потребление
permission,разрешение
twelve,двенадцать
offensive,оскорбительный
shower,душ
collapse,крах
undergo,проходить
function,функция
consciousness,сознание
correct,правильный
dry,сухой
frustration,разочарование
operating,работа
ease,простота
carrier,перевозчик
scope,сфера
grain,зерно
distinct,отчетливый
ranch,ранчо
workshop,цех
auto,авто
publisher,издатель
narrator,рассказчик
brush,щетка
ban,запрет
portray,изображение
fighting,боевой
borrow,занимать
seize,захватывать
psychology,психология
subsequent,последующий
exceed,превосходить
crack,трескаться
killing,убийство
deadline,срок
athletic,Спортивное
wise,мудрый
medication,медикамент
repeatedly,несколько раз
frequent,частый
rocket,ракета
fame,слава
lung,легкое
depict,изображение
persuade,убеждать
tent,палатка
ah,ах
motivation,мотивация
odds,шансы
worried,волновался
principal,главный
firm,твердый
ugly,уродливый
adequate,адекватный
nonetheless,тем не менее
criminal,уголовное
widespread,широко распространен
transformation,трансформация
physically,физически
provider,провайдер
admire,восхищаться
headline,Заголовок
miracle,чудо
institutional,институциональный
homeless,бездомный
impressive,впечатляющий
chef,шеф -повар
tactic,тактика
measurement,измерение
identification,удостоверение личности
province,провинция
moderate,умеренный
consensus,Консенсус
lovely,прекрасный
comedy,комедия
shore,берег
photographer,фотограф
venture,риск
competitor,конкурент
nomination,номинация
confusion,путаница
attribute,атрибут
horror,ужастик
orientation,ориентация
weekly,еженедельно
legislature,законодательный орган
basket,корзина
crash,крушение
continued,продолжение
blanket,одеяло
orange,апельсин
eagle,орел
changing,изменение
mouse,мыши
ethics,этика
high,высокая
ghost,призрак
everyday,ежедневно
rope,веревка
formula,формула
exhibit,выставка
nerve,нерв
cope,справиться
running,Бег
psychologist,психолог
acid,кислота
principal,главный
pet,домашний питомец
pitch,подача
occupation,оккупация
courage,храбрость
defeat,поражение
pregnancy,беременность
actress,актриса
patch,пластырь
margin,поле
reinforce,подкреплять
collective,коллектив
brick,кирпич
script,сценарий
cooking,приготовление еды
tunnel,туннель
document,документ
concrete,конкретный
recruit,нанимать на работу
grocery,бакалея
lemon,лимон
dare,осмеливаться
exact,точный
battery,батарея
surprisingly,удивительно
artistic,художественный
shit,дерьмо
indication,Индикация
cookie,печенье
intensity,интенсивность
dramatically,драматично
piano,пианино
concerning,касательно
lap,колени
inquiry,расследование
Catholic,Католик
discourse,дискурс
laughter,смех
anniversary,Годовщина
telescope,телескоп
swear,ругаться
park,парк
charity,благотворительная деятельность
clue,Подсказка
grave,могила
narrative,повествование
hypothesis,гипотеза
upset,расстройство
acceptable,приемлемый
favor,услуга
couch,диван
defendant,Ответчик
compose,составить
cool,Круто
ballot,голосование
related,связанные с
cluster,кластер
pie,пирог
concern,беспокойство
recording,запись
rail,железнодорожный
decrease,снижаться
rape,изнасилование
interrupt,прерывать
architect,архитектор
sigh,вздох
remark,примечание
Christian,Христианский
invent,изобретать
prescription,рецепт
reward,награда
sacred,священный
organ,орган
abroad,за рубежом
devil,дьявол
dear,Уважаемые
rank,классифицировать
superior,начальство
military,военный
greatly,очень
airplane,самолет
host,хозяин
habitat,среда обитания
coal,каменный уголь
soccer,футбольный
entitle,право
delay,задерживать
instructor,инструктор
integrity,честность
shine,светить
mess,беспорядок
norm,норма
allegation,утверждение
pill,таблетка
tight,тугой
cry,плакать
okay,хорошо
pleased,довольный
plain,простой
inspector,инспектор
forum,Форум
powder,пудра
sin,грех
evident,очевидный
sponsor,спонсор
acceptance,принятие
prosecution,судебное преследование
cognitive,когнитивный
presidency,президентство
finance,финансы
favor,услуга
magic,магия
northwest,северо-Запад
regulate,регулировать
exclude,исключать
colonial,колониальный
rent,арендовать
peer,вглядеться
civilian,гражданское лицо
harbor,гавань
estimated,оцененный
rhythm,ритм
midnight,полночь
counselor,консультант
highlight,выделять
palace,дворец
trading,торговля
compound,сложный
bare,голый
echo,эхо
integrate,интегрировать
slice,ломтик
combat,боя
shop,магазин
medium,средний
log,журнал
surgeon,хирург
excuse,извинение
ritual,ритуал
resign,уходить в отставку
net,сеть
excited,взволнованный
lightly,слегка
evil,зло
bitter,горький
export,экспорт
swing,качать
clay,глина
logic,логика
virtue,добродетель
container,контейнер
quarterback,защитник
beg,просить
salmon,лосось
greet,приветствовать
curve,изгиб
mill,мельница
closet,шкаф
interior,интерьер
rod,стержень
candy,конфеты
restrict,ограничивать
initiate,инициировать
reverse,задний ход
ethical,этичный
secondary,второстепенный
administrative,административный
confuse,запутать
deadly,смертоносный
pig,свинья
suburban,пригородный
medal,медаль
receiver,получатель
gaze,посмотреть
collapse,крах
snake,змея
march,марш
experimental,экспериментальный
civilization,цивилизация
classical,классический
fold,складывать
weakness,слабость
corridor,коридор
harsh,жесткий
retail,Розничная торговля
mortgage,ипотека
harder,Сильнее
developer,разработчик
legend,легенда
excitement,возбуждение
enforce,применение
murder,убийство
occasional,случайный
cowboy,ковбой
minimum,минимум
flash,вспышка
reliable,надежный
suburb,пригород
melt,таять
fit,поместиться
contend,сорвать
plead,умолять
written,написано
flood,наводнение
unlike,в отличие
stem,корень
inevitable,неизбежный
essence,сущность
pitcher,кувшин
tip,кончик
subtle,тонкий
stretch,протяжение
slam,шлем
unemployment,безработица
trunk,ствол
privilege,Привилегия
burst,лопаться
pitch,подача
architecture,архитектура
monthly,ежемесячно
render,оказывать
mainstream,основное направление
frankly,откровенно говоря
obstacle,препятствие
motivate,мотивировать
trap,ловушка
drinking,питьевой
elbow,локоть
rumor,слух
swallow,глотать
legislative,законодательный
lecture,лекция
daily,повседневная
jeans,джинсы
duck,утка
slope,склон
t-shirt,Футболка
inspection,осмотр
speed,скорость
strict,строгий
overwhelming,подавляющий
assemble,собирать
missing,отсутствующий
seemingly,по-видимому
label,этикетка
fraud,мошенничество
reach,достигать
plain,простой
protest,протест
implementation,реализация
hunt,охотиться
boyfriend,парень
integration,интеграция
rat,крыса
wish,желание
broadcast,транслировать
Korean,Корейский
nail,ноготь
pen,ручка
consult,консультироваться
companion,товарищ
encounter,сталкиваться
monster,монстр
nightmare,кошмар
beef,говядина
win,победить
serving,порция
globe,глобус
cholesterol,холестерин
parliament,Парламент
suite,набор
continuing,Продолжение
pop,поп
hence,следовательно
lend,давать в долг
project,проект
sixth,шестой
mud,грязь
pump,насос
flour,мука
hostage,заложник
ownership,владение
facilitate,способствовать
basement,подвал
correlation,корреляция
hurry,торопиться
insect,насекомое
arena,арена
drift,дрейф
notice,уведомление
domain,домен
cave,пещера
African-American,Афроамериканец
consistently,последовательно
leap,прыгнуть
final,финал
effectiveness,эффективность
maximum,максимум
array,множество
unexpected,непредвиденный
curtain,штора
sandwich,сэндвич
peaceful,мирный
humanity,человечество
prediction,прогноз
Roman,Римский
ideology,Идеология
railroad,железная дорога
possession,владение
horn,рог
replacement,замена
announcement,объявление
pond,пруд
conduct,руководить
forgive,простить
past,мимо
Muslim,Мусульманин
bishop,епископ
aim,цель
top,Топ
uncomfortable,неудобный
subject,предмет
laugh,смех
rip,рвать
random,случайный
herb,трава
and/or,и/или
dump,свалка
online,онлайн
warm,тепло
guilt,чувство вины
cattle,крупный рогатый скот
strain,напряжение
sheriff,шериф
behave,вести себя
response,отклик
crystal,кристалл
execute,выполнять
wrist,запястье
motive,мотив
painter,художник
convict,признать виновным
simultaneously,одновременно
recession,рецессия
await,Ждите
hallway,коридор
dose,доза
brush,щетка
endure,терпеть
counseling,консультирование
civilian,гражданское лицо
suck,сосать
accommodate,приспособиться
traditionally,традиционно
spill,проливать
fiscal,Фискальный
welcome,добро пожаловать
retired,на пенсии
closed,закрыто
gentle,нежный
separation,разделение
guard,сторожить
warrior,воин
convinced,убежденный
southwest,юго -запад
drunk,пьяный
outdoor,на открытом воздухе
tune,мелодия
patient,пациент
harm,вред
cloth,ткани
wherever,где бы
administer,Администрирование
short,короткая
supervisor,руководитель
compromise,компромисс
grateful,благодарный
Hispanic,Латиноамериканцы
Japanese,Японский
mandate,мандат
average,средний
alarm,тревога
cruise,круиз
injure,повреждение
sculpture,скульптура
award,премия
drain,осушать
temple,храм
dancer,танцовщица
towel,полотенце
Islam,ислам
continuous,непрерывный
govern,управляющий
crown,корона
contractor,подрядчик
adolescent,подростка
skirt,юбка
